Слово;Часть речи;Класс;Категория источников;Количество вхождений;Источники
раздражать;глагол;Злость;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
раздражаться;глагол;Злость;A;2;РуСентиЛекс, Алфавит эмоций
раздражающий;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
раздражение;существительное;Злость;AB;4;NRC EmoLex, НКРЯ, РуСентиЛекс, Алфавит эмоций
раздражённость;существительное;Злость;A;2;Русский семантический словарь, Алфавит эмоций
раздражительность;существительное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
раздражительный;прилагательное;Злость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
раздражить;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
раздражиться;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
раздразнивать;глагол;Злость;A;2;РуСентиЛекс, Алфавит эмоций
раздразнить;глагол;Злость;A;2;РуСентиЛекс, Алфавит эмоций
разнервничаться;глагол;Страх;A;2;НКРЯ, РуСентиЛекс
разобидеться;глагол;Грусть;A;2;НКРЯ, РуСентиЛекс
разозлить;глагол;Злость;AB;3;Датасеты, НКРЯ, Алфавит эмоций
разозлиться;глагол;Злость;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
разочарование;существительное;Грусть;AB;4;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс
разочарованность;существительное;Злость;A;2;Русский семантический словарь, РуСентиЛекс
разочаровать;глагол;Злость;AB;2;NRC EmoLex, НКРЯ
разочароваться;глагол;Злость;A;2;НКРЯ, РуСентиЛекс
разреветься;глагол;Грусть;AB;3;Датасеты, РуСентиЛекс, Алфавит эмоций
разрушительный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
разъярить;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
разъяриться;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
рана;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
ранить;глагол;Грусть;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
раскаяние;существительное;Радость;A;3;НКРЯ, Русский семантический словарь, РуСентиЛекс
расположение;существительное;Радость;A;2;Русский семантический словарь, РуСентиЛекс
расположенность;существительное;Радость;A;2;Русский семантический словарь, РуСентиЛекс
рассвирепеть;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
рассердить;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
рассердиться;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
рассерчать;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
расслабуха;существительное;Радость;A;2;РуСентиЛекс, Алфавит эмоций
рассмешить;глагол;Радость;AB;2;Датасеты, Алфавит эмоций
рассмеяться;глагол;Радость;AB;2;Датасеты, Алфавит эмоций
расстраивать;глагол;Грусть;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
расстраиваться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
расстроенный;прилагательное;Грусть;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
расстроить;глагол;Грусть;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
расстроиться;глагол;Грусть;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
расстройство;существительное;Грусть;AB;4;NRC EmoLex, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
растревоживать;глагол;Страх;A;2;НКРЯ, РуСентиЛекс
растревожить;глагол;Страх;A;2;НКРЯ, РуСентиЛекс
расцвести;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
расцветать;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
ревнивый;прилагательное;Грусть;AB;2;NRC EmoLex, РуСентиЛекс
ревность;существительное;Грусть;AB;4;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс
резвиться;глагол;Радость;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
резвый;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
робкий;прилагательное;Страх;AB;2;NRC EmoLex, Алфавит эмоций
робость;существительное;Страх;AB;3;NRC EmoLex, НКРЯ, Алфавит эмоций
рождение;существительное;Радость;B;2;Датасеты, NRC EmoLex
роскошный;прилагательное;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
рутина;существительное;Страх;AB;2;ENRuN, Алфавит эмоций
рыдание;существительное;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
рыдать;глагол;Грусть;AB;4;Датасеты, NRC EmoLex, РуСентиЛекс, Алфавит эмоций
самобичевание;существительное;Грусть;A;2;Русский семантический словарь, РуСентиЛекс
самоедство;существительное;Грусть;A;2;Русский семантический словарь, РуСентиЛекс
сатанинский;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
сахар;существительное;Радость;AB;2;ENRuN, Алфавит эмоций
свет;существительное;Радость;AB;2;Датасеты, Алфавит эмоций
светиться;глагол;Радость;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
свирепеть;глагол;Злость;A;2;РуСентиЛекс, Алфавит эмоций
свирепость;существительное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
свирепый;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
сдрейфить;глагол;Страх;A;2;НКРЯ, РуСентиЛекс
сенсационный;прилагательное;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
сердитость;существительное;Злость;A;2;Русский семантический словарь, Алфавит эмоций
сердитый;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
сердить;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
сердиться;глагол;Злость;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
сердце;существительное;Злость;A;2;Русский семантический словарь, Алфавит эмоций
серчать;глагол;Злость;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
симпатия;существительное;Радость;AB;5;ENRuN, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс
сияние;существительное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
сияющий;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
скисать;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
скиснуть;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
сконфузиться;глагол;Грусть;A;2;НКРЯ, РуСентиЛекс
скорбеть;глагол;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
скорбность;существительное;Грусть;A;2;Русский семантический словарь, Алфавит эмоций
скорбный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
скорбь;существительное;Грусть;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
скорбящий;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
скука;существительное;Грусть;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
скукота;существительное;Грусть;AB;3;Датасеты, РуСентиЛекс, Алфавит эмоций
скучать;глагол;Грусть;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
скучно;наречие;Грусть;AB;2;Датасеты, Алфавит эмоций
скучный;прилагательное;Грусть;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
сладкий;прилагательное;Радость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
сласть;существительное;Радость;A;2;Русский семантический словарь, Алфавит эмоций
слеза;существительное;Грусть;AB;2;Датасеты, Алфавит эмоций
слезливый;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
сломить;глагол;Грусть;AB;2;Датасеты, Алфавит эмоций
сломиться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
смертельный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
сметь;глагол;Грусть;AB;2;Датасеты, Алфавит эмоций
смех;существительное;Радость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
смехотворный;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
смешливость;существительное;Радость;A;2;РуСентиЛекс, Алфавит эмоций
смешливый;прилагательное;Радость;A;2;РуСентиЛекс, Алфавит эмоций
смешной;прилагательное;Радость;AB;2;Датасеты, Алфавит эмоций
смеяться;глагол;Радость;AB;2;Датасеты, Алфавит эмоций
смутиться;глагол;Грусть;A;2;НКРЯ, РуСентиЛекс
смущать;глагол;Грусть;AB;2;NRC EmoLex, НКРЯ
смущаться;глагол;Грусть;A;2;НКРЯ, РуСентиЛекс
смущение;существительное;Грусть;AB;3;NRC EmoLex, НКРЯ, Русский семантический словарь
смятение;существительное;Страх;AB;4;NRC EmoLex, НКРЯ, РуСентиЛекс, Алфавит эмоций
сникать;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
сникнуть;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
соболезнование;существительное;Грусть;AB;3;Датасеты, Русский семантический словарь, РуСентиЛекс
содрогаться;глагол;Страх;AB;2;NRC EmoLex, Алфавит эмоций
сожаление;существительное;Грусть;AB;7;ENRuN, Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
сожалеть;глагол;Грусть;AB;4;Датасеты, NRC EmoLex, НКРЯ, РуСентиЛекс
сокрушаться;глагол;Грусть;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
сокрушение;существительное;Грусть;A;3;НКРЯ, Русский семантический словарь, Алфавит эмоций
сокрушительный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
сокрушить;глагол;Грусть;A;2;НКРЯ, Алфавит эмоций
сосать;глагол;Грусть;AB;2;Датасеты, Алфавит эмоций
соскучиться;глагол;Грусть;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
сострадание;существительное;Грусть;AB;4;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс
сохнуть;глагол;Грусть;A;2;НКРЯ, Алфавит эмоций
сплин;существительное;Грусть;A;2;Русский семантический словарь, Алфавит эмоций
спокойный;прилагательное;Радость;AB;3;Датасеты, NRC EmoLex, РуСентиЛекс
спокойствие;существительное;Радость;AB;3;NRC EmoLex, НКРЯ, РуСентиЛекс
спугивать;глагол;Страх;A;2;НКРЯ, Алфавит эмоций
стервенеть;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
стеснение;существительное;Грусть;A;2;Русский семантический словарь, РуСентиЛекс
стесняться;глагол;Грусть;A;2;НКРЯ, РуСентиЛекс
столбняк;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
стон;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
сторониться;глагол;Страх;AB;2;NRC EmoLex, Алфавит эмоций
стосковаться;глагол;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
страдалец;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
страдание;существительное;Грусть;A;4;НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
страдать;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
странно;наречие;Удивление;AB;2;Датасеты, Алфавит эмоций
странность;существительное;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
странный;прилагательное;Удивление;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
страх;существительное;Страх;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
страшить;глагол;Страх;A;2;НКРЯ, Алфавит эмоций
страшиться;глагол;Страх;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
страшно;наречие;Страх;AB;2;Датасеты, Алфавит эмоций
страшный;прилагательное;Страх;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
стращать;глагол;Страх;A;2;НКРЯ, Алфавит эмоций
струсить;глагол;Страх;A;2;РуСентиЛекс, Алфавит эмоций
струхнуть;глагол;Страх;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
стыд;существительное;Грусть;AB;4;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс
стыдиться;глагол;Грусть;A;2;НКРЯ, РуСентиЛекс
сухота;существительное;Грусть;A;3;НКРЯ, Русский семантический словарь, Алфавит эмоций
счастие;существительное;Радость;AB;3;Датасеты, НКРЯ, РуСентиЛекс
счастливый;прилагательное;Радость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
счастье;существительное;Радость;AB;5;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
таинственный;прилагательное;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
терзание;существительное;Грусть;A;4;НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
терзаться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
терпеть;глагол;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
терроризировать;глагол;Страх;AB;2;NRC EmoLex, Алфавит эмоций
тиран;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
томиться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
томление;существительное;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
топать;глагол;Злость;AB;2;Датасеты, Алфавит эмоций
торжество;существительное;Радость;A;4;НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
торжествовать;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
торжествующий;прилагательное;Радость;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
тоска;существительное;Грусть;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
тоскливость;существительное;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
тоскливый;прилагательное;Грусть;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
тосковать;глагол;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
точить;глагол;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
тошнота;существительное;Грусть;AB;2;NRC EmoLex, РуСентиЛекс
тошнотворный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
травмировать;глагол;Грусть;AB;2;Датасеты, Алфавит эмоций
трагедия;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
трагичность;существительное;Грусть;AB;2;ENRuN, Алфавит эмоций
трагичный;прилагательное;Грусть;AB;2;Датасеты, Алфавит эмоций
траур;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
тревога;существительное;Страх;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
тревожить;глагол;Страх;AB;4;Датасеты, НКРЯ, РуСентиЛекс, Алфавит эмоций
тревожиться;глагол;Страх;AB;3;Датасеты, НКРЯ, РуСентиЛекс
тревожность;существительное;Страх;A;2;Русский семантический словарь, РуСентиЛекс
тревожный;прилагательное;Страх;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
треволнение;существительное;Страх;A;3;НКРЯ, Русский семантический словарь, РуСентиЛекс
трепет;существительное;Страх;AB;5;NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
трепетать;глагол;Страх;A;2;РуСентиЛекс, Алфавит эмоций
трудный;прилагательное;Грусть;AB;2;Датасеты, Алфавит эмоций
трусить;глагол;Страх;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
трусливый;прилагательное;Страх;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
трусость;существительное;Страх;AB;2;NRC EmoLex, Алфавит эмоций
трястись;глагол;Страх;AB;3;Датасеты, РуСентиЛекс, Алфавит эмоций
тужить;глагол;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
туман;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
туманиться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
тушеваться;глагол;Страх;A;2;РуСентиЛекс, Алфавит эмоций
тяготить;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
тяжесть;существительное;Грусть;A;2;Русский семантический словарь, Алфавит эмоций
тяжкий;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
убивать;глагол;Грусть;AB;2;Датасеты, Алфавит эмоций
убиваться;глагол;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
убийственный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
убийство;существительное;Грусть;B;2;ENRuN, NRC EmoLex
убить;глагол;Грусть;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
убояться;глагол;Страх;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
уважать;глагол;Радость;AB;2;NRC EmoLex, РуСентиЛекс
уверенность;существительное;Радость;AB;2;NRC EmoLex, РуСентиЛекс
увлечение;существительное;Радость;A;4;НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
угнетать;глагол;Грусть;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
угнетающий;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
угнетение;существительное;Грусть;AB;4;NRC EmoLex, НКРЯ, Русский семантический словарь, Алфавит эмоций
угнетённость;существительное;Грусть;A;2;Русский семантический словарь, Алфавит эмоций
угрожать;глагол;Страх;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
угрожающий;прилагательное;Страх;AB;2;NRC EmoLex, Алфавит эмоций
угроза;существительное;Страх;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
угрызение;существительное;Грусть;A;4;НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
угрюметь;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
угрюмость;существительное;Грусть;A;2;Русский семантический словарь, Алфавит эмоций
угрюмый;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
удача;существительное;Радость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
удивительно;наречие;Удивление;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
удивительность;существительное;Удивление;A;2;НКРЯ, Алфавит эмоций
удивительный;прилагательное;Удивление;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
удивить;глагол;Удивление;AB;3;Датасеты, НКРЯ, Алфавит эмоций
удивиться;глагол;Удивление;AB;3;Датасеты, НКРЯ, Алфавит эмоций
удивление;существительное;Удивление;AB;4;Датасеты, NRC EmoLex, НКРЯ, Алфавит эмоций
удивлять;глагол;Удивление;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
удивляться;глагол;Удивление;AB;2;Датасеты, Алфавит эмоций
удовлетворение;существительное;Радость;A;4;НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
удовлетворенность;существительное;Радость;A;2;Русский семантический словарь, РуСентиЛекс
удовлетвориться;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
удовлетворять;глагол;Радость;AB;2;NRC EmoLex, Алфавит эмоций
удовлетворяться;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
удовольствие;существительное;Радость;AB;7;ENRuN, Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
удовольствоваться;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
удручать;глагол;Грусть;AB;3;Датасеты, РуСентиЛекс, Алфавит эмоций
удручённость;существительное;Грусть;A;2;Русский семантический словарь, Алфавит эмоций
удручить;глагол;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
ужас;существительное;Страх;AB;7;ENRuN, Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
ужасать;глагол;Страх;AB;3;Датасеты, РуСентиЛекс, Алфавит эмоций
ужасаться;глагол;Страх;A;2;РуСентиЛекс, Алфавит эмоций
ужасающий;прилагательное;Страх;AB;2;NRC EmoLex, Алфавит эмоций
ужасно;наречие;Страх;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
ужаснуть;глагол;Страх;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
ужаснуться;глагол;Страх;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
ужасный;прилагательное;Страх;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
улыбаться;глагол;Радость;AB;2;Датасеты, Алфавит эмоций
улыбка;существительное;Радость;AB;4;ENRuN, Датасеты, NRC EmoLex, Алфавит эмоций
улыбнуться;глагол;Радость;AB;2;Датасеты, Алфавит эмоций
умаивать;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
умаять;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
умаяться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
умиление;существительное;Радость;A;3;НКРЯ, Русский семантический словарь, РуСентиЛекс
умиротворение;существительное;Радость;A;2;Русский семантический словарь, Алфавит эмоций
умиротворенность;существительное;Радость;AB;2;NRC EmoLex, РуСентиЛекс
умопомрачительный;прилагательное;Удивление;AB;2;Датасеты, Алфавит эмоций
унывать;глагол;Грусть;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
унылость;существительное;Грусть;A;2;Русский семантический словарь, Алфавит эмоций
унылый;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
уныние;существительное;Грусть;AB;5;ENRuN, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
унынье;существительное;Грусть;A;2;НКРЯ, РуСентиЛекс
упиваться;глагол;Радость;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
упиться;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
упоение;существительное;Радость;A;3;НКРЯ, Русский семантический словарь, Алфавит эмоций
услада;существительное;Радость;A;2;РуСентиЛекс, Алфавит эмоций
услаждаться;глагол;Радость;A;2;РуСентиЛекс, Алфавит эмоций
успешный;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
устрашать;глагол;Страх;AB;2;Датасеты, Алфавит эмоций
устрашаться;глагол;Страх;A;2;РуСентиЛекс, Алфавит эмоций
устрашающе;наречие;Страх;AB;2;Датасеты, Алфавит эмоций
устрашение;существительное;Страх;A;2;НКРЯ, Алфавит эмоций
устрашить;глагол;Страх;A;2;НКРЯ, Алфавит эмоций
устрашиться;глагол;Страх;A;3;НКРЯ, РуСентиЛекс, Алфавит эмоций
устыдиться;глагол;Грусть;A;2;НКРЯ, РуСентиЛекс
утомить;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
утомиться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
утомление;существительное;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
утомлять;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
утомляться;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
ухмылка;существительное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
фыркать;глагол;Злость;AB;2;NRC EmoLex, Алфавит эмоций
хандра;существительное;Грусть;AB;6;ENRuN, Датасеты, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
хандрить;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
хватить;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
хиханьки;существительное;Радость;A;2;НКРЯ, Алфавит эмоций
хихиканье;существительное;Радость;AB;2;ENRuN, Алфавит эмоций
хихикать;глагол;Радость;AB;2;NRC EmoLex, Алфавит эмоций
хлебнуть;глагол;Грусть;A;2;РуСентиЛекс, Алфавит эмоций
хмуриться;глагол;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
хмурый;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
холод;существительное;Злость;A;3;Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
холодность;существительное;Злость;AB;2;NRC EmoLex, Русский семантический словарь
хохот;существительное;Радость;AB;2;Датасеты, Алфавит эмоций
цвести;глагол;Радость;AB;2;NRC EmoLex, Алфавит эмоций
чувство;существительное;Радость;AB;3;NRC EmoLex, НКРЯ, Русский семантический словарь
чудак;существительное;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
чудесно;наречие;Удивление;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
чудесный;прилагательное;Удивление;AB;2;NRC EmoLex, Алфавит эмоций
чудно;наречие;Удивление;AB;2;Датасеты, Алфавит эмоций
чудной;прилагательное;Удивление;AB;2;Датасеты, Алфавит эмоций
чудный;прилагательное;Удивление;AB;2;Датасеты, Алфавит эмоций
чудо;существительное;Удивление;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
чудовище;существительное;Страх;AB;2;Датасеты, Алфавит эмоций
чудовищный;прилагательное;Страх;AB;2;NRC EmoLex, Алфавит эмоций
шантажировать;глагол;Страх;AB;2;NRC EmoLex, Алфавит эмоций
шантажист;существительное;Страх;AB;2;ENRuN, Алфавит эмоций
шок;существительное;Грусть;AB;4;Датасеты, NRC EmoLex, РуСентиЛекс, Алфавит эмоций
шутка;существительное;Радость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
эйфория;существительное;Радость;A;2;НКРЯ, Алфавит эмоций
экстаз;существительное;Радость;AB;3;NRC EmoLex, НКРЯ, РуСентиЛекс
энтузиазм;существительное;Радость;AB;2;NRC EmoLex, РуСентиЛекс
энтузиаст;существительное;Радость;B;2;ENRuN, NRC EmoLex
юмористический;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
яд;существительное;Злость;AB;3;NRC EmoLex, Русский семантический словарь, Алфавит эмоций
ядовитый;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
язва;существительное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
яриться;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
яростно;наречие;Злость;AB;2;NRC EmoLex, Алфавит эмоций
яростный;прилагательное;Злость;AB;3;NRC EmoLex, РуСентиЛекс, Алфавит эмоций
ярость;существительное;Злость;AB;6;Датасеты, NRC EmoLex, НКРЯ, Русский семантический словарь, РуСентиЛекс, Алфавит эмоций
